volantino,insegna,categoria,prodotto,formato,quantita,unita,prezzo,prezzo_unita,dal,al,note
mercato,Mercatò,Merendine,Pan e Cioc – Kinder,290 g,0.29,al kg,2.48,8.552,2026-09-03,2026-09-16,"Il volantino stampa 8,55 al kg."
mercato,Mercatò,Merendine,Pancake × 8 – Mulino Bianco Barilla,280 g,0.28,al kg,1.98,7.071,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 7,07 al kg."
mercato,Mercatò,Merendine,Plumcake Offerta Convenienza – Mulino Bianco Barilla,660 g (330 g × 2),0.66,al kg,1.99,3.015,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 3,02 al kg."
mercato,Mercatò,Merluzzo,Filetto di merluzzo nordico Skin MSC – Delfin,400 g,0.4,al kg,5.96,14.900,2026-09-03,2026-09-16,"Il volantino stampa 14,90 al kg."
mercato,Mercatò,Miele,Miele millefiori – Piemonte Miele,500 g,0.5,al kg,5.29,10.580,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 10,58 al kg."
mercato,Mercatò,Miele,Miele – Ambrosoli,250 g,0.25,al kg,2.49,9.960,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 9,96 al kg."
mercato,Mercatò,Mortadella,Mortadella vari tipi – Saper di Sapori,al kg (al banco),1,al kg,8.90,8.900,2026-09-03,2026-09-16,"Al banco, 0,89 all'etto."
mercato,Mercatò,Mozzarella,Mozzarella Julienne senza lattosio – Bayernland,200 g,0.2,al kg,1.49,7.450,2026-09-03,2026-09-16,"Sconto 50%. È già a filetti, per la pizza."
mercato,Mercatò,Mozzarella,Mozzarella di bufala campana DOP – Ponte Reale,375 g (125 g × 3),0.375,al kg,3.69,9.840,2026-09-03,2026-09-16,"Il volantino stampa 9,84 al kg."
mercato,Mercatò,Mozzarella,Mozzarelle – La Fattoria delle Cose Buone,300 g (100 g × 3),0.3,al kg,1.89,6.300,2026-09-03,2026-09-16,"Il volantino stampa 6,30 al kg."
mercato,Mercatò,Mozzarella,Stracciatella di burrata – Sabelli,al kg (al banco),1,al kg,11.90,11.900,2026-09-03,2026-09-16,"Al banco, 1,19 all'etto. È il ripieno della burrata, non mozzarella tonda."
mercato,Mercatò,Olio d'oliva,Olio d'oliva – Colavita,1 litro,1,al litro,3.96,3.960,2026-09-03,2026-09-16,"Solo con Fidelity Card. È olio d'oliva, non extra vergine."
mercato,Mercatò,Olio d'oliva,Olio extra vergine di oliva 100% italiano – Terre Nostre,"0,75 litri",0.75,al litro,5.89,7.853,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 7,85 al litro."
mercato,Mercatò,Olio d'oliva,Olio extra vergine di oliva classico – Filippo Berio,"0,75 litri",0.75,al litro,4.24,5.653,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 5,65 al litro."
mercato,Mercatò,Olio d'oliva,Olio extra vergine di oliva classico – Monini,1 litro,1,al litro,5.96,5.960,2026-09-03,2026-09-16,
mercato,Mercatò,Olio di semi,Olio di semi di soia – Valsoia,1 litro,1,al litro,2.98,2.980,2026-09-03,2026-09-16,
mercato,Mercatò,Panati,Bastoncini di mare – Coraya,180 g,0.18,al kg,1.49,8.278,2026-09-03,2026-09-16,"SONO SURIMI, non bastoncini di pesce impanati: polpa di pesce macinata e ricomposta, si mangiano freddi. Li tengo qui perche a Mercato e l'unica cosa del genere, ma non si confrontano con i bastoncini da friggere. Il volantino stampa 8,28 al kg."
mercato,Mercatò,Pane,Baguette rustica,al kg,1,al kg,2.98,2.980,2026-09-03,2026-09-16,Solo nei punti vendita col forno.
mercato,Mercatò,Pane,Cracker Bellebuone – Galbusera,200 g,0.2,al kg,1.69,8.450,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 8,45 al kg."
mercato,Mercatò,Pane,Cuor di Pane – Mulino Bianco Barilla,325 g,0.325,al kg,1.48,4.554,2026-09-03,2026-09-16,"Il volantino stampa 4,55 al kg."
mercato,Mercatò,Pane,Grissini nostrani – Panealba,200 g,0.2,al kg,0.74,3.700,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 3,70 al kg."
mercato,Mercatò,Pane,Grissino iposodico è senza – Monviso,120 g,0.12,al kg,0.74,6.167,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 6,17 al kg."
mercato,Mercatò,Pane,Il Cracker – Gran Pavesi,560 g,0.56,al kg,1.67,2.982,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 2,98 al kg."
mercato,Mercatò,Pane,Pan carrè – Mulino Bianco Barilla,285 g,0.285,al kg,0.60,2.105,2026-09-03,2026-09-16,"Il volantino stampa 2,11 al kg."
mercato,Mercatò,Pane,Pane vari tipi – Daily Bread,500 g,0.5,al kg,1.69,3.380,2026-09-03,2026-09-16,"Il volantino stampa 3,38 al kg."
mercato,Mercatò,Pane,Piadina romagnola IGP alla riminese – Riccione Piadina,360 g (120 g × 3),0.36,al kg,1.69,4.694,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 4,69 al kg."
mercato,Mercatò,Pane,Pinsa classica – Pinsami,460 g (2 basi),0.46,al kg,3.99,8.674,2026-09-03,2026-09-16,"Il volantino stampa 8,67 al kg."
mercato,Mercatò,Pane,Spuntinelle – Morato,350 g (175 g × 2),0.35,al kg,1.09,3.114,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 3,11 al kg."
mercato,Mercatò,Pane,"Tramezzino pane ai cereali, pollo, bacon e pomodoro – Riva",170 g,0.17,al kg,2.49,14.647,2026-09-03,2026-09-16,"Il volantino stampa 14,65 al kg."
mercato,Mercatò,Pasta,Agnolotti – La Fattoria delle Cose Buone,250 g,0.25,al kg,2.99,11.960,2026-09-03,2026-09-16,"Il volantino stampa 11,96 al kg."
mercato,Mercatò,Pasta,Lasagne alla bolognese – Rana,350 g,0.35,al kg,2.99,8.543,2026-09-03,2026-09-16,"Il volantino stampa 8,54 al kg."
mercato,Mercatò,Pasta,Pasta Khorasan bio – Sgambaro,500 g,0.5,al kg,1.99,3.980,2026-09-03,2026-09-16,"Il volantino stampa 3,98 al kg."
mercato,Mercatò,Pasta,Pasta fresca ripiena Sfogliavelo – Rana,250 g,0.25,al kg,2.39,9.560,2026-09-03,2026-09-16,"Il volantino stampa 9,56 al kg."
mercato,Mercatò,Pasta,Pasta fresca vari tipi – Maffei,250 g,0.25,al kg,0.55,2.200,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 2,20 al kg."
mercato,Mercatò,Pasta,Pasta fresca vari tipi – Stemarpast,250 g,0.25,al kg,1.49,5.960,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 5,96 al kg."
mercato,Mercatò,Pasta,Pasta senza glutine – Le Veneziane,250 g,0.25,al kg,1.17,4.680,2026-09-03,2026-09-16,"Il volantino stampa 4,68 al kg."
mercato,Mercatò,Pasta,Pasta vari tipi – Agnesi,500 g,0.5,al kg,0.77,1.540,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 1,54 al kg."
mercato,Mercatò,Pasta,Pasta vari tipi – Rummo,500 g,0.5,al kg,0.79,1.580,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 1,58 al kg."
mercato,Mercatò,Pasta,Ravioles della Val Varaita,al kg (al banco),1,al kg,4.90,4.900,2026-09-03,2026-09-16,"Al banco, 0,49 all'etto."
mercato,Mercatò,Pasta,Tajarin all'uovo – La Fattoria delle Cose Buone,250 g,0.25,al kg,1.39,5.560,2026-09-03,2026-09-16,"Il volantino stampa 5,56 al kg."
mercato,Mercatò,Patate,Patatine prefritte Patasnella – Pizzoli,1 kg,1,al kg,2.29,2.290,2026-09-03,2026-09-16,
mercato,Mercatò,Pesce,Filetti di sgombro marinati,al kg (al banco),1,al kg,17.90,17.900,2026-09-03,2026-09-16,"Al banco, 1,79 all'etto."
mercato,Mercatò,Pesce,Insalata di mare,al kg (al banco),1,al kg,27.90,27.900,2026-09-03,2026-09-16,"Al banco, 2,79 all'etto. È già condita, si mangia fredda."
mercato,Mercatò,Pesce,Tranci di verdesca – Maremundi,450 g,0.45,al kg,3.99,8.867,2026-09-03,2026-09-16,"Il volantino stampa 8,87 al kg. La verdesca è uno squalo: polpa soda, senza spine."
mercato,Mercatò,Pizza,Pizza margherita Bella Napoli × 2 – Buitoni,650 g,0.65,al kg,2.74,4.215,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 4,22 al kg."
mercato,Mercatò,Pollo,Coscette di pollo piemontese,al kg,1,al kg,6.99,6.990,2026-09-03,2026-09-16,
mercato,Mercatò,Pollo,Involtino di pollo con speck e provola,al kg,1,al kg,15.79,15.790,2026-09-03,2026-09-16,
mercato,Mercatò,Pollo,Petto di pollo,al kg,1,al kg,11.99,11.990,2026-09-03,2026-09-16,Origine Italia.
mercato,Mercatò,Pomodoro,Passata vellutata al vapore – Valfrutta,700 g,0.7,al kg,0.74,1.057,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 1,06 al kg."
mercato,Mercatò,Pomodoro,Polpa di pomodoro – Mutti,400 g,0.4,al kg,0.64,1.600,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 1,60 al kg."
mercato,Mercatò,Pomodoro,Pomodori pelati – Cirio,400 g,0.4,al kg,0.89,2.225,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 2,23 al kg."
mercato,Mercatò,Preparati,Burger di scottona – You&Meat,200 g,0.2,al kg,3.89,19.450,2026-09-03,2026-09-16,"Il volantino stampa 19,45 al kg."
mercato,Mercatò,Prosciutto,Prosciutto cotto 100% italiano Stella – Negroni,al kg (al banco),1,al kg,17.90,17.900,2026-09-03,2026-09-16,"Al banco, 1,79 all'etto."
mercato,Mercatò,Prosciutto,Prosciutto cotto Gran Biscotto – Rovagnati,100 g,0.1,al kg,1.99,19.900,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 19,90 al kg."
mercato,Mercatò,Prosciutto,Prosciutto cotto Teneroni – Casa Modena,150 g,0.15,al kg,1.99,13.267,2026-09-03,2026-09-16,"Il volantino stampa 13,27 al kg."
mercato,Mercatò,Prosciutto,Prosciutto cotto alta qualità – Dimarello,al kg (al banco),1,al kg,10.90,10.900,2026-09-03,2026-09-16,"Al banco, 1,09 all'etto."
mercato,Mercatò,Prosciutto,Prosciutto cotto – Dimarello,120 g,0.12,al kg,1.69,14.083,2026-09-03,2026-09-16,"Il volantino stampa 14,08 al kg."
mercato,Mercatò,Prosciutto,Prosciutto crudo – Citterio,120 g,0.12,al kg,2.79,23.250,2026-09-03,2026-09-16,"Il volantino stampa 23,25 al kg."
mercato,Mercatò,Prosciutto,Prosciutto di Parma DOP 22 mesi – Saper di Sapori,al kg (al banco),1,al kg,26.90,26.900,2026-09-03,2026-09-16,"Al banco, 2,69 all'etto."
mercato,Mercatò,Prosciutto,Speck IGP Gran Resa – Senfter,al kg (al banco),1,al kg,13.90,13.900,2026-09-03,2026-09-16,"Al banco, 1,39 all'etto."
mercato,Mercatò,Ricotta,Ricotta Santa Lucia – Galbani,250 g,0.25,al kg,0.99,3.960,2026-09-03,2026-09-16,"Il volantino stampa 3,96 al kg."
mercato,Mercatò,Ricotta,Ricotta del boscaiolo – Longo,400 g,0.4,al kg,1.59,3.975,2026-09-03,2026-09-16,"Il volantino stampa 3,98 al kg."
mercato,Mercatò,Ricotta,Ricotta fuscelle – Caseificio Pugliese,al kg (al banco),1,al kg,6.90,6.900,2026-09-03,2026-09-16,"Al banco, 0,69 all'etto."
mercato,Mercatò,Riso,Riso Arborio Selezione Speciale – Riso Scotti,1 kg,1,al kg,2.37,2.370,2026-09-03,2026-09-16,Solo con Fidelity Card.
mercato,Mercatò,Riso,Riso Basmati – Molino di Borgo San Dalmazzo,500 g,0.5,al kg,1.49,2.980,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 2,98 al kg."
mercato,Mercatò,Riso,Riso Blond integrale – Gallo,1 kg,1,al kg,1.71,1.710,2026-09-03,2026-09-16,Sconto 50%.
mercato,Mercatò,Riso,Riso Blond per risotti – Gallo,1 kg,1,al kg,1.84,1.840,2026-09-03,2026-09-16,Sconto 50%.
mercato,Mercatò,Riso,Riso Carnaroli – Curtiriso,1 kg,1,al kg,1.99,1.990,2026-09-03,2026-09-16,Sconto 50%.
mercato,Mercatò,Riso,Riso Roma – Grandi Riso,1 kg,1,al kg,0.98,0.980,2026-09-03,2026-09-16,Sconto 50%.
mercato,Mercatò,Riso,Riso Roma – Il Buon Riso,1 kg,1,al kg,2.59,2.590,2026-09-03,2026-09-16,Solo con Fidelity Card.
mercato,Mercatò,Salame,Salame Felino IGP – Cavalier Umberto Boschi,350 g,0.35,al kg,7.90,22.571,2026-09-03,2026-09-16,"Il volantino stampa 22,57 al kg."
mercato,Mercatò,Salame,Salame Golfetta – Golfera,100 g,0.1,al kg,2.59,25.900,2026-09-03,2026-09-16,"Il volantino stampa 25,90 al kg."
mercato,Mercatò,Salame,Salame Piemonte IGP – Raspini,100 g,0.1,al kg,2.39,23.900,2026-09-03,2026-09-16,"Il volantino stampa 23,90 al kg."
mercato,Mercatò,Salame,Salame bocconcino Cavour,al kg (al banco),1,al kg,16.90,16.900,2026-09-03,2026-09-16,"Al banco, 1,69 all'etto."
mercato,Mercatò,Salame,Salame crudo filzetta – Gabba,al kg (al banco),1,al kg,14.90,14.900,2026-09-03,2026-09-16,"Al banco, 1,49 all'etto."
mercato,Mercatò,Salmone,Filetti di salmone – Zarotti,150 g,0.15,al kg,2.99,19.933,2026-09-03,2026-09-16,"Il volantino stampa 19,93 al kg."
mercato,Mercatò,Salmone affumicato,Salmone affumicato norvegese Essential – Mowi,100 g,0.1,al kg,3.99,39.900,2026-09-03,2026-09-16,"Il volantino stampa 39,90 al kg."
mercato,Mercatò,Salsiccia,Salsiccia rustica piemontese,al kg,1,al kg,9.79,9.790,2026-09-03,2026-09-16,
mercato,Mercatò,Shampoo,Olio shampoo vari tipi – Restivoil,150 ml,0.15,al litro,6.69,44.600,2026-09-03,2026-09-16,"Il volantino stampa 44,60 al litro."
mercato,Mercatò,Shampoo,Shampoo a secco classico – Batist,200 ml,0.2,al litro,3.99,19.950,2026-09-03,2026-09-16,"Il volantino stampa 19,95 al litro."
mercato,Mercatò,Shampoo,Shampoo linea capelli Elvive vari tipi – L'Oréal,300 ml,0.3,al litro,2.49,8.300,2026-09-03,2026-09-16,"Il volantino stampa 8,30 al litro."
mercato,Mercatò,Shampoo,Shampoo linea capelli vari tipi – Biopoint,400 ml,0.4,al litro,4.99,12.475,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 12,48 al litro."
mercato,Mercatò,Shampoo,Shampoo linea capelli vari tipi – Pantene,250 ml,0.25,al litro,2.59,10.360,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 10,36 al litro."
mercato,Mercatò,Shampoo,Shampoo linea capelli vari tipi – Sunsilk,250 ml,0.25,al litro,1.99,7.960,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 7,96 al litro."
mercato,Mercatò,Spalmabili,Exquisa Fresco Cremoso classico,175 g,0.175,al kg,0.89,5.086,2026-09-03,2026-09-16,Sconto 50%.
mercato,Mercatò,Spalmabili,Robiola d'Alba bianca,al kg (al banco),1,al kg,10.90,10.900,2026-09-03,2026-09-16,"Al banco, 1,09 all'etto."
mercato,Mercatò,Spalmabili,Robiola – Osella,200 g (100 g × 2),0.2,al kg,2.39,11.950,2026-09-03,2026-09-16,"Il volantino stampa 11,95 al kg."
mercato,Mercatò,Sughi,Pesto Tigullio,185 g,0.185,al kg,1.69,9.135,2026-09-03,2026-09-16,"Il volantino stampa 9,14 al kg."
mercato,Mercatò,Sughi,Pesto vari tipi – Rana,140 g,0.14,al kg,1.45,10.357,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 10,36 al kg."
mercato,Mercatò,Sughi,Ragù vegetale senza aglio – Biffi,190 g,0.19,al kg,1.89,9.947,2026-09-03,2026-09-16,"Il volantino stampa 9,95 al kg."
mercato,Mercatò,Sughi,Salsa – Agromonte,330 g,0.33,al kg,1.14,3.455,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 3,45 al kg."
mercato,Mercatò,Sughi,Sugo vari tipi – Althea,120 g,0.12,al kg,0.66,5.500,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 5,50 al kg."
mercato,Mercatò,Sughi,Sugo vari tipi – Barilla,300 g,0.3,al kg,1.59,5.300,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 5,30 al kg."
mercato,Mercatò,Sughi,Sugo vari tipi – Mutti,280 g,0.28,al kg,0.99,3.536,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 3,54 al kg."
mercato,Mercatò,Suino,Lonza di suino piemontese,al kg,1,al kg,9.89,9.890,2026-09-03,2026-09-16,
mercato,Mercatò,Tacchino,Fesa di tacchino arrosto – Lenti,al kg (al banco),1,al kg,14.90,14.900,2026-09-03,2026-09-16,"Al banco, 1,49 all'etto. È già cotta, non è carne cruda."
mercato,Mercatò,Tonno,Tonno al naturale – Asdomar,240 g (168 g sgocciolati),0.168,al kg,1.99,11.845,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il tonno al naturale è per metà acqua: il conto è sul peso sgocciolato, come lo fa il volantino, se no sembrerebbe il più conveniente di tutti senza esserlo."
mercato,Mercatò,Tonno,Tonno all'olio di oliva Pescato a Canna – Rio Mare,720 g (120 g × 6),0.72,al kg,7.99,11.097,2026-09-03,2026-09-16,Sconto 50%.
mercato,Mercatò,Tonno,Tonno all'olio di oliva meno olio – Asdomar,180 g (60 g × 3),0.18,al kg,2.49,13.833,2026-09-03,2026-09-16,
mercato,Mercatò,Tonno,Tonno all'olio di oliva – Nostromo,210 g (70 g × 3),0.21,al kg,1.79,8.524,2026-09-03,2026-09-16,Sconto 50%.
mercato,Mercatò,Tonno,Tonno all'olio di oliva – Palmera,480 g (160 g × 2 + 1 omaggio),0.48,al kg,4.99,10.396,2026-09-03,2026-09-16,Solo con Fidelity Card.
mercato,Mercatò,Tonno,Tonno leggero – Mareblu,180 g (60 g × 3),0.18,al kg,2.25,12.500,2026-09-03,2026-09-16,
mercato,Mercatò,Tè,Camomilla solubile 20 bustine – Bonomelli,25 g,0.025,al kg,1.34,53.600,2026-09-03,2026-09-16,"Il volantino stampa 53,60 al kg. Al chilo fa impressione, ma è una scatola da 20 bustine."
mercato,Mercatò,Tè,Thè deteinato 18 filtri – Infré,27 g,0.027,al kg,2.39,88.519,2026-09-03,2026-09-16,"Il volantino stampa 88,52 al kg. Al chilo fa impressione, ma è una scatola da 18 filtri."
mercato,Mercatò,Verdura,Carote sfuse,al kg,1,al kg,0.99,0.990,2026-09-03,2026-09-09,
mercato,Mercatò,Verdura,Pomodoro costoluto – Gandini,al kg,1,al kg,2.99,2.990,2026-09-03,2026-09-09,Origine Italia.
mercato,Mercatò,Verdure surgelate,Cuori di carciofi in spicchi – Orogel,300 g,0.3,al kg,2.29,7.633,2026-09-03,2026-09-16,"Il volantino stampa 7,63 al kg."
mercato,Mercatò,Verdure surgelate,Fagiolini extra fini – Bonduelle,450 g,0.45,al kg,1.29,2.867,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 2,87 al kg."
mercato,Mercatò,Verdure surgelate,Funghi porcini a cubetti – Funghi&Sapori,300 g,0.3,al kg,4.96,16.533,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 16,53 al kg."
mercato,Mercatò,Verdure surgelate,Misto funghi con porcini – Funghi&Sapori,450 g,0.45,al kg,2.89,6.422,2026-09-03,2026-09-16,"Il volantino stampa 6,42 al kg."
mercato,Mercatò,Verdure surgelate,Spinaci Cubello Foglia Più – Orogel,900 g,0.9,al kg,1.98,2.200,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 2,20 al kg."
mercato,Mercatò,Verdure surgelate,Verdurì Leggerezza – Orogel,600 g,0.6,al kg,1.99,3.317,2026-09-03,2026-09-16,"Il volantino stampa 3,32 al kg."
mercato,Mercatò,Vino,Arneis Langhe DOC – Produttori di Govone,"0,75 litri",0.75,al litro,2.98,3.973,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 3,97 al litro."
mercato,Mercatò,Vino,Barbaresco DOCG – Mainerdo,"0,75 litri",0.75,al litro,9.98,13.307,2026-09-03,2026-09-16,"Il volantino stampa 13,31 al litro."
mercato,Mercatò,Vino,Bianco o rosso Terre Siciliane IGT – Corvo,"0,75 litri",0.75,al litro,3.78,5.040,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 5,04 al litro."
mercato,Mercatò,Vino,Bonarda dell'Oltrepò Pavese DOC – Le Cascine,"0,75 litri",0.75,al litro,1.95,2.600,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 2,60 al litro."
mercato,Mercatò,Vino,Bonarda dell'Oltrepò Pavese DOC – Manfredi,"0,75 litri",0.75,al litro,2.99,3.987,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 3,99 al litro."
mercato,Mercatò,Vino,Chardonnay Langhe DOC – Terre del Barolo,"0,75 litri",0.75,al litro,4.48,5.973,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 5,97 al litro."
mercato,Mercatò,Vino,Chianti DOCG – Leonardo da Vinci,"0,75 litri",0.75,al litro,3.78,5.040,2026-09-03,2026-09-16,"Il volantino stampa 5,04 al litro."
mercato,Mercatò,Vino,Cortese dell'Alto Monferrato DOC – Duchessa Lia,"0,75 litri",0.75,al litro,2.99,3.987,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 3,99 al litro."
mercato,Mercatò,Vino,Dogliani DOCG Grappoli Cantina Dolcetto di Dogliani,"1,5 litri",1.5,al litro,4.98,3.320,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 3,32 al litro."
mercato,Mercatò,Vino,Dolcetto d'Alba DOC – Fontanafredda,"0,75 litri",0.75,al litro,4.98,6.640,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 6,64 al litro."
mercato,Mercatò,Vino,Favorita Langhe DOC – Terredavino,"0,75 litri",0.75,al litro,3.69,4.920,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 4,92 al litro."
mercato,Mercatò,Vino,Gewürztraminer Trentino DOC – Santa Margherita,"0,75 litri",0.75,al litro,7.49,9.987,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 9,99 al litro."
mercato,Mercatò,Vino,Grignolino Piemonte DOC – Araldica,"0,75 litri",0.75,al litro,2.48,3.307,2026-09-03,2026-09-16,"Sconto 50%. Il volantino stampa 3,31 al litro."
mercato,Mercatò,Vino,Lambrusco di Modena DOC secco o amabile – Cavicchioli,"1,5 litri",1.5,al litro,3.49,2.327,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 2,33 al litro."
mercato,Mercatò,Vino,Orvieto Classico secco DOC – Bigi,"0,75 litri",0.75,al litro,2.99,3.987,2026-09-03,2026-09-16,"Il volantino stampa 3,99 al litro."
mercato,Mercatò,Vino,Pignoletto DOC frizzante secco – Righi,"0,75 litri",0.75,al litro,2.98,3.973,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 3,97 al litro."
mercato,Mercatò,Vino,Pinot Grigio Friuli DOC – Ca' Vescovo,"0,75 litri",0.75,al litro,4.48,5.973,2026-09-03,2026-09-16,"Il volantino stampa 5,97 al litro."
mercato,Mercatò,Vino,Prosecco Millesimato Rosé DOC – Sant'Orsola,"0,75 litri",0.75,al litro,4.48,5.973,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 5,97 al litro."
mercato,Mercatò,Vino,Prosecco Valdobbiadene DOCG Spago – La Gioiosa,"0,75 litri",0.75,al litro,5.48,7.307,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 7,31 al litro."
mercato,Mercatò,Vino,Prosecco Valdobbiadene DOCG – Mionetto,"0,75 litri",0.75,al litro,6.98,9.307,2026-09-03,2026-09-16,"Il volantino stampa 9,31 al litro."
mercato,Mercatò,Vino,Prosecco frizzante DOC Spago – Tenuta Sant'Anna,"0,75 litri",0.75,al litro,3.98,5.307,2026-09-03,2026-09-16,"Il volantino stampa 5,31 al litro."
mercato,Mercatò,Vino,Rosato o bianco Trevenezie IGT – Turà,"0,75 litri",0.75,al litro,2.29,3.053,2026-09-03,2026-09-16,"Il volantino stampa 3,05 al litro."
mercato,Mercatò,Vino,Sangiovese Rubicone IGT – Botte Buona,"0,75 litri",0.75,al litro,1.59,2.120,2026-09-03,2026-09-16,"Il volantino stampa 2,12 al litro."
mercato,Mercatò,Vino,Spumante Brut Pinot di Pinot – Gancia,"0,75 litri",0.75,al litro,3.99,5.320,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 5,32 al litro."
mercato,Mercatò,Vino,Valpolicella DOC Classico Superiore Ripasso – Cantina di Negrar,"0,75 litri",0.75,al litro,6.49,8.653,2026-09-03,2026-09-16,"Solo con Fidelity Card. Il volantino stampa 8,65 al litro."
mercato,Mercatò,Yogurt,Actimel – Danone,600 g (100 g × 6),0.6,al kg,2.59,4.317,2026-09-03,2026-09-16,
mercato,Mercatò,Yogurt,Kefir cremoso – Milk,150 g,0.15,al kg,0.59,3.933,2026-09-03,2026-09-16,Sconto 50%.
mercato,Mercatò,Yogurt,"Yogurt assortito caffè, fragola, agrumi, banana – Yomo",1 kg (125 g × 8),1,al kg,2.19,2.190,2026-09-03,2026-09-16,Sconto 50%.
mercato,Mercatò,Yogurt,Yogurt fragola e vaniglia Maxiduo Fruttolo – Nestlé,400 g (100 g × 4),0.4,al kg,1.39,3.475,2026-09-03,2026-09-16,
carriper04,Carrefour Iper,Acqua,Acqua effervescente naturale – Uliveto,"9 litri (6 × 1,5 l)",9,al litro,2.49,0.277,2026-09-04,2026-09-13,"−33%, prima 3,78. Solo con la tessera SpesAmica Payback."
carriper04,Carrefour Iper,Acqua,Acqua naturale o frizzante – Levissima,6 litri (6 × 1 l),6,al litro,2.29,0.382,2026-09-04,2026-09-13,"−33%, prima 3,42. Solo con la tessera SpesAmica Payback."
carriper04,Carrefour Iper,Acqua,Acqua naturale o frizzante – Vera,"9 litri (6 × 1,5 l)",9,al litro,1.79,0.199,2026-09-04,2026-09-13,"−40%, prima 3,10. Solo con la tessera SpesAmica Payback."
carriper04,Carrefour Iper,Acqua,Acqua naturale – Maniva,12 litri,12,al litro,2.49,0.208,2026-09-04,2026-09-13,"Il volantino stampa 0,21 al litro."
carriper04,Carrefour Iper,Ammorbidente,Ammorbidente – Lenor,"1,827 l, 87 lavaggi",87,a lavaggio,3.99,0.046,2026-09-04,2026-09-13,"Sottocosto −50%, prima 7,99. E ammorbidente: si usa in aggiunta al detersivo, non al posto."
carriper04,Carrefour Iper,Ammorbidente,Ecoricarica ammorbidente concentrato – Spuma di Sciampagna,"1,2 l, 60 lavaggi",60,a lavaggio,2.29,0.038,2026-09-04,2026-09-13,"−30%, prima 3,28. E ammorbidente: si usa in aggiunta al detersivo, non al posto."
carriper04,Carrefour Iper,Asciugatutto,Bobina rotolo multiuso Serie 135 – Bulkysoft,1 bobina da 700 strappi,1,al rotolo,3.49,3.490,2026-09-04,2026-09-13,"−30%, prima 4,99. E una bobina grande: al rotolo costa piu di un rotolo normale, ma ne rende molti di piu."
